original_meal,cleaned_meal,cluster_id
حلويات بسكوي,حلويات بسكوي,7
حبن,حبن,46
مــــــــاسيدوان,مــــــــاسيدوان,26
سلاطة كرنب,سلاطة كرنب,48
سلاطة  كرنب,سلاطة كرنب,48
مرق الحمص بالخضر,مرق الحمص بالخضر,40
حلويات,حلويات,7
مرطبات,مرطبات,20
مرق لسان الطير,مرق لسان الطير,40
مرق جلبانة مكسرة,مرق جلبانة مكسرة,36
مربى المشمش,مربى المشمش,32
فاصولياء بيضاء,فاصولياء بيضاء,37
مرق معكرونة,مرق معكرونة,40
مرق الحمص بالكرنب و البسباس,مرق الحمص بالكرنب و البسباس,40
اردوف,اردوف,22
مـــــــــاسيدوان,مـــــــــاسيدوان,26
مشروبات غازية,مشروبات غازية,47
سلاطة اردوف,سلاطة اردوف,41
حلويات,حلويات,7
الخبز,الخبز,3
مرق لسان الطير,مرق لسان الطير,40
قشدة,قشدة,7
مرق الخضر,مرق الخضر,40
بــــــــاتي,بــــــــاتي,26
سلاطة أردوف,سلاطة أردوف,41
سباقيتي مرق,سباقيتي مرق,13
مــاسيدوان,مــاسيدوان,26
باغورت,باغورت,22
سالطة كرنب,سالطة كرنب,37
بــــاتي,بــــاتي,26
مربى الشمش,مربى الشمش,7
مرطبات,مرطبات,20
ماســـــــــــيدوان,ماســـــــــــيدوان,26
ماسيدوان,ماسيدوان,20
سمك طونا,سمك طونا,2
عصير الفواكة,عصير الفواكة,16
مريى المشمش,مريى المشمش,6
مـــــــــــــاسيدوان,مـــــــــــــاسيدوان,26
مرق جلبانة م,مرق جلبانة م,36
سلاطة أرز,سلاطة أرز,44
سلاطة شمندر (أردوف),سلاطة شمندر أردوف,41
بان شوكو,بان شوكو,9
مرطبات (ملفاي / بسكوي),مرطبات ملفاي بسكوي,7
قراتان شيفلور,قراتان شيفلور,6
فاكهة موسمية,فاكهة موسمية,43
هلاليات (كرواصو),هلاليات كرواصو,30
بيض مقلي,بيض مقلي,11
سمك تونا,سمك تونا,23
قراتان بطاطا,قراتان بطاطا,12
سلاطة شمندر ( أردوف),سلاطة شمندر أردوف,41
دجاج,دجاج,45
خبز بالشيكولا ( بان شوكو),خبز بالشيكولا بان شوكو,34
سلاطة بسباس,سلاطة بسباس,41
مرطبات (ملفاي /بسكوي),مرطبات ملفاي بسكوي,7
هلاليات (كرواصو),هلاليات كرواصو,30
تليتلي مغموم,تليتلي مغموم,29
طاجين زيتون,طاجين زيتون,2
مرطبات (ملفاي - بسكوي),مرطبات ملفاي بسكوي,7
سلاطة شمندر (اردوف),سلاطة شمندر اردوف,41
دجاج طازج,دجاج طازج,45
أومليت ( بيض مقلي),أومليت بيض مقلي,11
بـــــــــــاتي,بـــــــــــاتي,26
خبز بالشيكولا,خبز بالشيكولا,34
مرطبات (بسكوي / ملفاي),مرطبات بسكوي ملفاي,7
سلاطة شمندر,سلاطة شمندر,41
سلاطة ارز,سلاطة ارز,44
أومليت,أومليت,46
بـــــــاتي,بـــــــاتي,26
مرطبات ( بسكوي / ملفاي ),مرطبات بسكوي ملفاي,7
كسكس بالزبيب,كسكس بالزبيب,30
لبن,لبن,25
تمر,تمر,26
حليب,حليب,25
حلويات سيقار,حلويات سيقار,7
شكشوكة,شكشوكة,6
مـــــاسيدوان,مـــــاسيدوان,26
لحم أحمر,لحم أحمر,33
حليب علب,حليب علب,25
طاجين زيتون + فريت,طاجين زيتون فريت,21
طبق حلو,طبق حلو,7
زلابية,زلابية,30
حليب,حليب,25
قلب اللوز,قلب اللوز,30
مرق لوبيا خضراء,مرق لوبيا خضراء,28
قلب اللوز ( الشامية),قلب اللوز الشامية,30
مرق جلبانة مجمدة,مرق جلبانة مجمدة,36
سلطة شمندر,سلطة شمندر,31
حريرة,حريرة,22
طبق خلو,طبق خلو,7
لحم احمر,لحم احمر,33
سلطة بسباس,سلطة بسباس,31
مرطبات /بيسكوي,مرطبات بيسكوي,24
هلاليات(كرواصو),هلاليات كرواصو,30
خبز بالشيكولا (بان شوكو),خبز بالشيكولا بان شوكو,34
مرطبات / حلويات,مرطبات حلويات,7
مـــادلين,مـــادلين,26
هلاليات ( كرواصو ),هلاليات كرواصو,30
أومليت( بيض مقلي),أومليت بيض مقلي,11
مرطبات ( ملفاي / بسكوي),مرطبات ملفاي بسكوي,7
تونا,تونا,23
سلاطة  بسباس,سلاطة بسباس,41
حلويات (بسكوي / ملفاي),حلويات بسكوي ملفاي,7
مرطبات (كرواصو / مادلين / خبز بالشيكولا),مرطبات كرواصو مادلين خبز بالشيكولا,34
تونا,تونا,23
مرطبات ( مادلين / خبز بالشيكولا / كرواصو),مرطبات مادلين خبز بالشيكولا كرواصو,34
حلويات (بسكوي / ملفاي ),حلويات بسكوي ملفاي,7
مرطبات (كرواصو / خبز بالشيكولا / مادلين ),مرطبات كرواصو خبز بالشيكولا مادلين,34
مرطبات ( كرواصو / مادلين / خبز بالشيكولا),مرطبات كرواصو مادلين خبز بالشيكولا,34
مرطبات ( مادلين / كرواصو / خبز بالشيكولا),مرطبات مادلين كرواصو خبز بالشيكولا,34
مرطبات( بسكوي/ ملفاي),مرطبات بسكوي ملفاي,7
مرطبات( كرواصو / خبز بالشيكولا/ مادلين),مرطبات كرواصو خبز بالشيكولا مادلين,34
تليلي مغموم,تليلي مغموم,29
بــــــاتي,بــــــاتي,26
كــــاشير,كــــاشير,26
سباقيتي,سباقيتي,13
كسكس,كسكس,24
مرطبا ت( مادلين /كرواصو/خبز بالشيكولا),مرطبا ت مادلين كرواصو خبز بالشيكولا,34
جلبانة مكسرة,جلبانة مكسرة,36
مرطبات (كرواصو/ مادلين / خبز بالشيكولا),مرطبات كرواصو مادلين خبز بالشيكولا,34
مرق شيفلور,مرق شيفلور,40
مرطبات (مادلين / كرواصو /خبز بالشيكولا),مرطبات مادلين كرواصو خبز بالشيكولا,34
لحم,لحم,33
حلويات ( بسكوي / ملفاي),حلويات بسكوي ملفاي,7
مرطبات ( مادلين / كرواصو / خبز بالشيكولا ),مرطبات مادلين كرواصو خبز بالشيكولا,34
حليب بالقهوة,حليب بالقهوة,8
مرطبات ( مادلين / كرواصة / خبز بالشيكولا),مرطبات مادلين كرواصة خبز بالشيكولا,34
لحم احمر,لحم احمر,33
حلويات ( ملفاي / بسكوي),حلويات ملفاي بسكوي,7
مرطبات (مادلين / كرواصو / خبز بالشيكولا),مرطبات مادلين كرواصو خبز بالشيكولا,34
مرق خضر بالشيفلور,مرق خضر بالشيفلور,48
مرطبات  ( مادلين / كرواصو / خبز بالشيكولا),مرطبات مادلين كرواصو خبز بالشيكولا,34
سلطة الخضراء,سلطة الخضراء,31
بطاطا مقلية,بطاطا مقلية,19
فاكهة,فاكهة,15
مرطبات (مادلين / خبز بالشيكولا/ كرواصو),مرطبات مادلين خبز بالشيكولا كرواصو,34
بــــــــاتي,بــــــــاتي,26
سمك تونا,سمك تونا,23
مرطبات ( كرواصو / مادلين /خبز بالشيكولا ),مرطبات كرواصو مادلين خبز بالشيكولا,34
مرطبات (مادلين/كرواصو/خبز بالشيكولا),مرطبات مادلين كرواصو خبز بالشيكولا,34
طاجين زيتون,طاجين زيتون,2
سلطة  شمندر,سلطة شمندر,31
تونا علب,تونا علب,23
مرق بالخضر و الشيفلور,مرق بالخضر و الشيفلور,48
مرطبات (مادلين / كرواصو / خبز بالشيكولا ),مرطبات مادلين كرواصو خبز بالشيكولا,34
مرق بلسان الطير,مرق بلسان الطير,40
قهوة بالحليب,قهوة بالحليب,8
أرز مغموم,أرز مغموم,44
مرف جلبانة جافة,مرف جلبانة جافة,36
مرق فلصولياء بيضاء,مرق فلصولياء بيضاء,37
لجم,لجم,46
مرطبات ( ملفاي / بسكوي ),مرطبات ملفاي بسكوي,7
ياغورت او قشدة,ياغورت او قشدة,14
سلطة  كرنب,سلطة كرنب,48
باتي او كاشير,باتي او كاشير,18
ياغور أو قشدة,ياغور أو قشدة,14
بطاطا كوشة,بطاطا كوشة,12
كاشير أو باتي,كاشير أو باتي,18
مرق بالخضر,مرق بالخضر,40
قشدة او ياغورت,قشدة او ياغورت,14
قهوة بالحليب,قهوة بالحليب,8
قشدة او فلان,قشدة او فلان,7
مرق  سباقيتي,مرق سباقيتي,13
مرطبات ( مادلين او خبز بالشيكولا),مرطبات مادلين او خبز بالشيكولا,34
مرطبات ( مادلين او كرواصو او خبز بالشيكولا),مرطبات مادلين او كرواصو او خبز بالشيكولا,34
مرق فاصولياء بيضاء,مرق فاصولياء بيضاء,37
لحم الطازج,لحم الطازج,33
حلويات ( مادلين /كرواصو / خبز بالشيكولا),حلويات مادلين كرواصو خبز بالشيكولا,34
مرق بالخضروات,مرق بالخضروات,40
كاشير او باتي,كاشير او باتي,18
لحم الدجاج,لحم الدجاج,45
مرطبات ( ملفاي او بسكوي),مرطبات ملفاي او بسكوي,7
حلويات ( مادلين / كرواصو/خبز بالشيكولا),حلويات مادلين كرواصو خبز بالشيكولا,34
قشدة أو ياغورت,قشدة أو ياغورت,14
مرطبات (ملفاي او بسكوي,مرطبات ملفاي او بسكوي,7
حليب  بالقهوة,حليب بالقهوة,8
مرطبات (مادلين او كرواصو او خبز بالشيكولا),مرطبات مادلين او كرواصو او خبز بالشيكولا,34
ياغورت أو قشدة,ياغورت أو قشدة,14
مرف جلبانة,مرف جلبانة,36
حلويات (مادلين او كرواصو او خبز بالشيكولا),حلويات مادلين او كرواصو او خبز بالشيكولا,34
سلطة كرنب,سلطة كرنب,48
سلطة خضراء,سلطة خضراء,31
مرطبات (ملفاي او بسكوي),مرطبات ملفاي او بسكوي,7
حلويات (مادلين او كرواصو لو خبز بالشيكولا),حلويات مادلين او كرواصو لو خبز بالشيكولا,34
حلويات ( مادلين او كرواصو او خبز بالشيكولا),حلويات مادلين او كرواصو او خبز بالشيكولا,34
حمص بالمرق,حمص بالمرق,40
زيتون مرق,زيتون مرق,21
عدس مرق,عدس مرق,40
حلويات ( كرواصو او مادلين او خبز بالشيكولا),حلويات كرواصو او مادلين او خبز بالشيكولا,34
جلبانة مرق,جلبانة مرق,36
بيض (أومليت),بيض أومليت,11
مشروب او عصير,مشروب او عصير,47
أرز طعام,أرز طعام,44
مرق لسان الطيلر,مرق لسان الطيلر,40
فاكهة,فاكهة,15
مرطبات ( كرواصو او مادلين او خبز بالشيكولا),مرطبات كرواصو او مادلين او خبز بالشيكولا,34
سلطة ماسيدوان,سلطة ماسيدوان,31
قشدة او ياغورت بالفواكه,قشدة او ياغورت بالفواكه,14
عدس بالمرق,عدس بالمرق,40
مرطبات ( كلرواصو او مادلين او خبز بالشيكولا),مرطبات كلرواصو او مادلين او خبز بالشيكولا,34
بيض(أومليت),بيض أومليت,11
مشروب غازي او عصير,مشروب غازي او عصير,47
ارز طعام,ارز طعام,44
قشدة او ياغورت,قشدة او ياغورت,14
مرطبات (كرواصو او مادلين او خبز بالشيكولا),مرطبات كرواصو او مادلين او خبز بالشيكولا,34
احم طازج,احم طازج,33
لحم دجاج,لحم دجاج,45
سلطة أرز,سلطة أرز,44
بيض (أومليت ),بيض أومليت,11
قشدة او ياغورت معطر,قشدة او ياغورت معطر,14
حريرة (شوربة),حريرة شوربة,48
لسان الطير مغموم,لسان الطير مغموم,22
سلطة اوردوف,سلطة اوردوف,31
عصير,عصير,16
فاكهة  متنوعة,فاكهة متنوعة,43
ارز مفور,ارز مفور,44
عصير او مشروب,عصير او مشروب,47
مرطبات (مادلين او كرواصواو خبز بالشيكولا),مرطبات مادلين او كرواصواو خبز بالشيكولا,34
معكرونة,معكرونة,40
جلبانة بالمرق,جلبانة بالمرق,36
مرطبات (كرواصو ا و مادلين او خبز بالشيكولا),مرطبات كرواصو ا و مادلين او خبز بالشيكولا,34
لحم الدجاج,لحم الدجاج,45
مرطبات (مادلين او كرواصو ا و خبز بالشيكولا),مرطبات مادلين او كرواصو ا و خبز بالشيكولا,34
بيض (اومليت),بيض اومليت,11
مرق بالخضروات,مرق بالخضروات,40
مرق زيتون,مرق زيتون,21
بيض ( أومليت ),بيض أومليت,11
مرطبات (بسكوي او ملفاي),مرطبات بسكوي او ملفاي,7
شوربة (حريرة),شوربة حريرة,48
شوربة ( حريرة),شوربة حريرة,48
قشدة او فلان,قشدة او فلان,7
بطاطا  كوشة,بطاطا كوشة,12
مرطبات (كلرواصو او خبز بالشيكولا او مادلين ),مرطبات كلرواصو او خبز بالشيكولا او مادلين,34
مرطبات ( ملفاي او بسكوي)),مرطبات ملفاي او بسكوي,7
ساطة أرز,ساطة أرز,44
شوربة (حريرة ),شوربة حريرة,48
زيتون مرق,زيتون مرق,21
معكرةنة بالمرق,معكرةنة بالمرق,40
حليب باقهوة,حليب باقهوة,8
ساطة كرنب,ساطة كرنب,48
تليتلي مغموم,تليتلي مغموم,29
مرطبات ( ملفاي او بسكوي ),مرطبات ملفاي او بسكوي,7
مرق زيتون,مرق زيتون,21
شوربة ( حريرة ),شوربة حريرة,48
فاطهة موسمية,فاطهة موسمية,43
ياغورت بالفواكه,ياغورت بالفواكه,14
مرطبات ( مادلين او كرواصو ا و خبز بالشيكولا),مرطبات مادلين او كرواصو ا و خبز بالشيكولا,34
مرق فاصولياء جافة,مرق فاصولياء جافة,37
مرطبات ( بسكوي او بسكوي),مرطبات بسكوي او بسكوي,7
مرطبات ( بسكوي او ملفاي),مرطبات بسكوي او ملفاي,7
مرق بالجلبانة,مرق بالجلبانة,36
مرطبات ( مادلين او خبز بالشيكولا او كرواصو ),مرطبات مادلين او خبز بالشيكولا او كرواصو,34
عصير بالفواكه,عصير بالفواكه,16
شوربة شعيرية (حريرة ),شوربة شعيرية حريرة,48
مرطبات (مادلين او خبز بالشيكولا او كرواصو),مرطبات مادلين او خبز بالشيكولا او كرواصو,34
بسكوي,بسكوي,7
ملفاي,ملفاي,22
ياغورت,ياغورت,9
زبدة قطع,زبدة قطع,32
ماء معدني,ماء معدني,17
كاشير  او باتي,كاشير او باتي,18
ماء معدني,ماء معدني,17
ملء معدني,ملء معدني,17
كسكس بالعنب المجفف,كسكس بالعنب المجفف,32
حليب معقم,حليب معقم,25
حلويات السيقار,حلويات السيقار,35
حمص بالشيفلور,حمص بالشيفلور,48
تمر,تمر,26
جلبانة مجمدة,جلبانة مجمدة,36
حليب معقم,حليب معقم,25
مرق دولمة,مرق دولمة,46
كسكس + عنب مجفف,كسكس عنب مجفف,32
سيقار,سيقار,46
جلبانة خضراء,جلبانة خضراء,36
بوراك,بوراك,24
مثوم,مثوم,22
حمص الشفلور,حمص الشفلور,6
دولمة,دولمة,46
بطاطا مقلية,بطاطا مقلية,19
ماءمعدني,ماءمعدني,17
كسكس +عنب مجفف,كسكس عنب مجفف,32
عصير الفولكه,عصير الفولكه,16
مرق عدس,مرق عدس,40
زبدة,زبدة,32
ماسيدوان او شوربة,ماسيدوان او شوربة,20
شوربة شعرية,شوربة شعرية,48
زبدة قطع 10 غ,زبدة قطع 10 غ,32
حليب ع,حليب ع,25
بطاطة كوشة,بطاطة كوشة,12
كاشيراو باتي,كاشيراو باتي,18
حلويات ملفاي,حلويات ملفاي,30
أرز مفموم,أرز مفموم,44
سلطة جزاىرية,سلطة جزاىرية,31
زيتون المرق,زيتون المرق,21
خبزة,خبزة,3
جلبانة جافة,جلبانة جافة,7
مثوم,مثوم,22
جلبانة مسكرة,جلبانة مسكرة,36
جلبانة مجمدة + بطاطا مقلية,جلبانة مجمدة بطاطا مقلية,36
فاكهة موسمية (نيكتارين),فاكهة موسمية نيكتارين,43
زيتون المرق,زيتون المرق,21
مقرونة بالمرق,مقرونة بالمرق,22
كرواصو,كرواصو,6
كاشير ا و باتي,كاشير ا و باتي,18
مبى المشمش,مبى المشمش,6
زبدة قطع,زبدة قطع,32
مشروب,مشروب,47
زبدة حيوانية,زبدة حيوانية,32
ارز ابيض,ارز ابيض,44
مرق تليتلي,مرق تليتلي,29
زبدة حيوانية,زبدة حيوانية,32
لحم,لحم,33
تليتيلي مغموم,تليتيلي مغموم,29
الاقامة الجامعية بن عقون الزهراء,الاقامة الجامعية بن عقون الزهراء,22
نليتلي مغموم,نليتلي مغموم,28
خبز بالشكولا,خبز بالشكولا,34
مرق جلبانة مجمدة,مرق جلبانة مجمدة,36
زبدة  حيوانية,زبدة حيوانية,32
أرزطعام,أرزطعام,44
مرق بالجلبانة مجمدة,مرق بالجلبانة مجمدة,36
مرق بالمكرونة,مرق بالمكرونة,40
ماء  معدني,ماء معدني,17
أرز مفور,أرز مفور,44
حبز,حبز,46
مرق العدس,مرق العدس,40
سلطو خضراء,سلطو خضراء,31
عصيرالفواكه,عصيرالفواكه,16
ملرق سباقيتي,ملرق سباقيتي,13
زبدة حيوانية,زبدة حيوانية,32
سلطة  جزائرية,سلطة جزائرية,31
شوربة او حريرة,شوربة او حريرة,48
مرق بالعدس,مرق بالعدس,40
مرق بالمعكرونة,مرق بالمعكرونة,40
شوربة,شوربة,48
ماء معدني,ماء معدني,17
عجائن,عجائن,3
لجم اجمر,لجم اجمر,46
سلطك جزائرية,سلطك جزائرية,31
بطاطا مسحوقة,بطاطا مسحوقة,12
حليب بالشيكولا,حليب بالشيكولا,8
مربى,مربى,32
فاكهه,فاكهه,43
حليب بالشيكولاطة,حليب بالشيكولاطة,8
فاكهة + قشدة,فاكهة قشدة,43
ياغورت + عصير,ياغورت عصير,14
فاكهة تفاح,فاكهة تفاح,15
سلاطة  جزائرية,سلاطة جزائرية,31
فاكهة موسمية+ عصير,فاكهة موسمية عصير,43
بطاطا مسحوقة,بطاطا مسحوقة,12
فاكهة + عصير,فاكهة عصير,16
عجائن ( معكرونة),عجائن معكرونة,3
فاكهة + ياغورت بالفواكه,فاكهة ياغورت بالفواكه,14
فاكهة + ياغورت,فاكهة ياغورت,14
سلطة أودوف,سلطة أودوف,31
قشدة + ياغورت,قشدة ياغورت,14
عجائن(تليتلي),عجائن تليتلي,29
عجائن سباقيتي,عجائن سباقيتي,13
عجائن معكرونة,عجائن معكرونة,3
سلاكة متنوعة,سلاكة متنوعة,41
عجائن تليتلي,عجائن تليتلي,29
أرز  مفور,أرز مفور,44
سردين علب,سردين علب,38
مرق بالجليانة,مرق بالجليانة,40
عصير + فاكهة,عصير فاكهة,16
فاكهة +عصير,فاكهة عصير,16
عجائن مقرونة,عجائن مقرونة,3
رايب,رايب,22
فريت,فريت,22
أردوف شمندر,أردوف شمندر,41
لوبيا خضراء,لوبيا خضراء,28
احم أحمر,احم أحمر,46
شيفلور,شيفلور,6
عصير او ياغوت,عصير او ياغوت,9
أردوف خضروات,أردوف خضروات,37
ماء,ماء,17
سلطة خيار,سلطة خيار,31
ماء,ماء,17
حليب او لبن,حليب او لبن,25
مرق الشيفلوربالحمص,مرق الشيفلوربالحمص,40
لحم او دجاج,لحم او دجاج,45
حليب او رايب,حليب او رايب,25
اردوف خضروات,اردوف خضروات,37
كسكس يالزبيب,كسكس يالزبيب,30
رايب او لبن,رايب او لبن,25
بيض او جبن,بيض او جبن,11
رايب او حليب او لبن,رايب او حليب او لبن,25
سلاطة,سلاطة,41
لبن او رايب,لبن او رايب,25
جبن او بيض,جبن او بيض,11
لحم طازج,لحم طازج,33
ياغورت  بالفواكه,ياغورت بالفواكه,14
لبن,لبن,25
حليب ا و لبن,حليب ا و لبن,25
لحم العجل,لحم العجل,10
سلكة خضراء,سلكة خضراء,22
قهوة,قهوة,8
اردوف شمندر,اردوف شمندر,41
معكرونة,معكرونة,40
فاصولياء جافة,فاصولياء جافة,37
مادلان,مادلان,20
فاصولياء,فاصولياء,37
حساء شربة,حساء شربة,48
ارز في الفرن,ارز في الفرن,44
عصير علب,عصير علب,47
تونة او لحم,تونة او لحم,23
خبز بالشكولاطة,خبز بالشكولاطة,34
كسكس بالمرقى,كسكس بالمرقى,24
لحم قطع,لحم قطع,33
عصير علب,عصير علب,47
كاشير,كاشير,18
ياوورت كريمة,ياوورت كريمة,9
جبن قطع,جبن قطع,1
ياوورت معطر,ياوورت معطر,9
(فريت +ارز)ميلونج,فريت ارز ميلونج,44
لحم شرائح,لحم شرائح,33
خبز بالشيكولاطة,خبز بالشيكولاطة,34
موز,موز,15
شطيطحة حمص,شطيطحة حمص,49
ياوورت معطر,ياوورت معطر,9
أرز في الفرن,أرز في الفرن,44
سمك طازج,سمك طازج,38
بيض مغلى,بيض مغلى,11
عنب,عنب,15
تونة علب,تونة علب,23
حساء شربة/فريك,حساء شربة فريك,35
كسكس بالمرقى,كسكس بالمرقى,24
لحم قطع,لحم قطع,33
ياووت كريمة / ياوورت معطر,ياووت كريمة ياوورت معطر,9
تفاح,تفاح,15
سمك تونة,سمك تونة,23
مادلان,مادلان,20
حساء شربة فريك,حساء شربة فريك,35
ارز في الفرن,ارز في الفرن,44
دجاج روتي,دجاج روتي,45
عصير العلب,عصير العلب,47
ياوورت كريمة,ياوورت كريمة,9
فاصولياء,فاصولياء,37
جبن قطع,جبن قطع,1
ميلونج(فريت + ارز),ميلونج فريت ارز,44
خبز بالشكلاطة,خبز بالشكلاطة,34
سلطة متنوعة,سلطة متنوعة,31
كليمونتين,كليمونتين,46
راقو شفلور,راقو شفلور,6
تونة علب,تونة علب,23
أررز في الفرن,أررز في الفرن,44
كليمزنتين,كليمزنتين,46
راقو بسباس,راقو بسباس,24
ميلونج,ميلونج,20
سلاطة خص,سلاطة خص,41
تفاح,تفاح,15
بيض مغلي,بيض مغلي,11
سلاطة متنوعة,سلاطة متنوعة,41
خبز بالشكلاطة,خبز بالشكلاطة,34
لحم مرحي شرائح,لحم مرحي شرائح,33
أرز بالفرن,أرز بالفرن,44
برتقال,برتقال,15
قراتا شفلور,قراتا شفلور,6
كرواسون,كرواسون,18
رشتة بالمرق,رشتة بالمرق,40
رتقال,رتقال,30
موز,موز,15
خبر بالشكولاطة,خبر بالشكولاطة,34
كسكس بالمرق,كسكس بالمرق,40
بطاطا مرحية,بطاطا مرحية,12
طاجين الزيتون,طاجين الزيتون,2
حليب بالشكولاطة,حليب بالشكولاطة,8
طاجين الزيتون,طاجين الزيتون,2
سلاطة حص,سلاطة حص,41
ارز بالفرن,ارز بالفرن,44
حلي بالقهوة,حلي بالقهوة,8
طاجي زيتون,طاجي زيتون,21
حليب ببالشكولاطة,حليب ببالشكولاطة,8
حساء شوربة,حساء شوربة,48
رشتة بالرق,رشتة بالرق,6
سلااطة متنوعة,سلااطة متنوعة,41
طاجين كباب,طاجين كباب,2
مقارون,مقارون,20
برتقال,برتقال,15
ميلونج (أرز + بطاطا مقلية),ميلونج أرز بطاطا مقلية,19
كشير,كشير,6
موز بين 150غ و250غ,موز بين 150غ و250غ,39
ميلونج(أرز + بطاطا مقلية),ميلونج أرز بطاطا مقلية,19
خز بالشكولاطة,خز بالشكولاطة,34
حليب القهوة,حليب القهوة,8
حساء شرة /فريك,حساء شرة فريك,35
طاجين كباب,طاجين كباب,2
يض مغلي,يض مغلي,47
حساء شورة فريك,حساء شورة فريك,48
بططا مرحية,بططا مرحية,12
حليب  بالقهوة,حليب بالقهوة,8
ياوورت معطلر,ياوورت معطلر,9
حليب القهوة,حليب القهوة,8
قرنون محشي,قرنون محشي,46
لحم مفروم,لحم مفروم,33
خبز الشكولاطة,خبز الشكولاطة,34
حساء شربة / فريك,حساء شربة فريك,35
حساء شربة/ فريك,حساء شربة فريك,35
سلاطو خص,سلاطو خص,41
حساء شربة/ فريك,حساء شربة فريك,35
عصير غلب,عصير غلب,47
دجاج في الفرن,دجاج في الفرن,45
سلاطة متنوع,سلاطة متنوع,41
سباقيتي,سباقيتي,13
كليمونتين,كليمونتين,46
حساء شربة فريك,حساء شربة فريك,35
دجاج في الفرن,دجاج في الفرن,45
حساء شربة /فريك,حساء شربة فريك,35
راقو بسباس,راقو بسباس,24
باتي,باتي,22
ياوورت علب,ياوورت علب,9
سلطة ارز,سلطة ارز,44
قرنون محشي باالحم المفروم,قرنون محشي باالحم المفروم,33
