item,category_id,category_name
الارز بالمرق,2,Rice & Pasta
العجائن,2,Rice & Pasta
الكسكس,2,Rice & Pasta
تلتلي,2,Rice & Pasta
تليتلي,2,Rice & Pasta
تليتلي أو رشتة,2,Rice & Pasta
تليتلي او ارز بالصلصة,2,Rice & Pasta
تليتلي بالخضروات,2,Rice & Pasta
تليتلي بالصلصة,2,Rice & Pasta
تليتلي بالمرق,2,Rice & Pasta
تليتلي فرن,2,Rice & Pasta
تليتلي في الفرن,2,Rice & Pasta
تليتلي مجمر,2,Rice & Pasta
تليتلي مسقى,2,Rice & Pasta
تليتلي مغموم,2,Rice & Pasta
تليتلي/ ارز,2,Rice & Pasta
تليتلي/ شخشوخة,2,Rice & Pasta
حساء (شربة فريك / شربة خضار / شربة شعيرية),2,Rice & Pasta
حساء (شربة فريك/ شربة خضار/ شربة شعيرية),2,Rice & Pasta
حساء (فارميسال),2,Rice & Pasta
حساء شعيرية,2,Rice & Pasta
حساء شعيرية بلحم الخروف,2,Rice & Pasta
حساء شوربة بالشعيرية,2,Rice & Pasta
حساء شوربة فارميسال,2,Rice & Pasta
حساء شوربة لسان العصفور,2,Rice & Pasta
حساء شوربة لسان العصفور/ مرق بالخضار,2,Rice & Pasta
دشيشة فريك/ فرميسال,2,Rice & Pasta
دشيشة فريك/فرميسال,2,Rice & Pasta
دويدة,2,Rice & Pasta
دويدة مفورة,2,Rice & Pasta
زيتون/أرز,2,Rice & Pasta
سباغتي,2,Rice & Pasta
سباغيتي,2,Rice & Pasta
سباغيتي / مقارون لولبي الشكل,2,Rice & Pasta
سباغيتي بالخضار,2,Rice & Pasta
سباغيتي بالخضار و الزيتون الاخضر,2,Rice & Pasta
سباغيتي بالخضر,2,Rice & Pasta
سباغيتي بالزيتون الاخضر,2,Rice & Pasta
سباغيتي بالصلصة,2,Rice & Pasta
سباغيتي بالصلصلة,2,Rice & Pasta
سباغيتي بالمرق,2,Rice & Pasta
سباغيتي في الفرن,2,Rice & Pasta
سباقتي (عجائن صناعية),2,Rice & Pasta
سباقيتي,2,Rice & Pasta
سباقيتي او ماقرونة,2,Rice & Pasta
سباقيتي بالصلصة,2,Rice & Pasta
سباقيتي بالمرق,2,Rice & Pasta
سباقيتي بصلصة الطماطم,2,Rice & Pasta
سباقيتي بولوناز,2,Rice & Pasta
سباقيتي صلصة الطماطم,2,Rice & Pasta
سباقيتي صوص بولونياز,2,Rice & Pasta
سباقيتي صوص طوماط,2,Rice & Pasta
سباقيتي مرق,2,Rice & Pasta
سباقيتي/أرز( بالمكونات),2,Rice & Pasta
سباقيتي/مقرونة,2,Rice & Pasta
سلاطة أرز,2,Rice & Pasta
سلاطة ارز,2,Rice & Pasta
سلاطة الأرز,2,Rice & Pasta
سلاطة الارز,2,Rice & Pasta
سلاطة العجائن,2,Rice & Pasta
سلاطة بالأرز,2,Rice & Pasta
سلاطة بالارز,2,Rice & Pasta
سلاطة بالعجائن,2,Rice & Pasta
سلاطة عجائن,2,Rice & Pasta
سلاطة ماسيدوان بالارز,2,Rice & Pasta
سلاطة متنوعة /أرز,2,Rice & Pasta
سلاطة متنوعة /كسكس,2,Rice & Pasta
سلاطة متنوعة أو سلاطة أرز,2,Rice & Pasta
سلاطة متنوعة بالارز,2,Rice & Pasta
سلاطة مسيدوان(أرز),2,Rice & Pasta
سلطة أرز,2,Rice & Pasta
سلطة أرز ماسيدوان,2,Rice & Pasta
سلطة أرز متنوعة,2,Rice & Pasta
سلطة ارز,2,Rice & Pasta
سلطة ارز ( ماسيدوان),2,Rice & Pasta
سلطة ارز ( مقدونية),2,Rice & Pasta
سلطة ارز (مقدونية),2,Rice & Pasta
سلطة ارز او حساء او شربة,2,Rice & Pasta
سلطة ارز متنوعة,2,Rice & Pasta
سلطة الأرز,2,Rice & Pasta
سلطة الارز,2,Rice & Pasta
سلطة العجائن,2,Rice & Pasta
سلطة بالعجائن,2,Rice & Pasta
سلطة عجائن,2,Rice & Pasta
سلطة عجائن بالخضار,2,Rice & Pasta
سلطة عجائن بالخضر,2,Rice & Pasta
سلطة ماسيدوان:ارز,2,Rice & Pasta
سلطة متنوعة/سلطة أرز,2,Rice & Pasta
شربة (فريك أو فارميسال),2,Rice & Pasta
شربة الفارميسال,2,Rice & Pasta
شربة بالشعيرية,2,Rice & Pasta
شربة بلحم الخروف(فريك-دويدة),2,Rice & Pasta
شربة دويدة,2,Rice & Pasta
شربة شعيرية,2,Rice & Pasta
شربة شعيرية / شربة فريك,2,Rice & Pasta
شربة شعيرية بلحم الخروف,2,Rice & Pasta
شربة فارميسال,2,Rice & Pasta
شربة فرميسال,2,Rice & Pasta
شربة فريك / شعيرية,2,Rice & Pasta
شربة فريك /شعيرية,2,Rice & Pasta
شربة فريك أو شعيرية,2,Rice & Pasta
شربة فريك او شعيرية,2,Rice & Pasta
شربة فريك او فارميسال بلحم الخروف,2,Rice & Pasta
شربة فريك/ شعيرية,2,Rice & Pasta
شربة فريك/شربة بالشعيرية,2,Rice & Pasta
شربة فريك/شربة شعيرية,2,Rice & Pasta
شربة فريك/شعيرية,2,Rice & Pasta
شربة فريك/فارميسال بلحم الخروف,2,Rice & Pasta
شربة لسان طير / شعيرية,2,Rice & Pasta
شربة لسان طير/ شعيرية,2,Rice & Pasta
شربة لسان طير/شعيرية,2,Rice & Pasta
شربةفريك/شربة بالشعيرية,2,Rice & Pasta
شربةفريك/شربةبالشعيرية,2,Rice & Pasta
شعيرية,2,Rice & Pasta
شعيرية أو شربة فريك,2,Rice & Pasta
شوربة الشعيرية,2,Rice & Pasta
شوربة بالشعيرية,2,Rice & Pasta
شوربة شعيرية,2,Rice & Pasta
شوربة فارميسال,2,Rice & Pasta
شوربة فرميسال,2,Rice & Pasta
شوربة فريك/ فارميسال بلحم الخروف,2,Rice & Pasta
شوربة فريك/شوربة شعيرية,2,Rice & Pasta
شوربة فريك/فارميسال بلحم الخروف,2,Rice & Pasta
شوربة لسان العصفور,2,Rice & Pasta
طاجين أرز,2,Rice & Pasta
طاجين أرز في الفرن,2,Rice & Pasta
طاجين تليتلي,2,Rice & Pasta
طبق الارز,2,Rice & Pasta
طبق مشكل(أرز و جزر و زيتون),2,Rice & Pasta
عجاءن سباقيتي,2,Rice & Pasta
عجائن,2,Rice & Pasta
عجائن '' سباقيتي,2,Rice & Pasta
عجائن ''تليلتي,2,Rice & Pasta
عجائن ( معكرونة),2,Rice & Pasta
عجائن ( معكرونة أو سباغيتي),2,Rice & Pasta
عجائن / كسكس,2,Rice & Pasta
عجائن : سباقيتي,2,Rice & Pasta
عجائن : معكرونة,2,Rice & Pasta
عجائن السباقيتي,2,Rice & Pasta
عجائن بالخضار,2,Rice & Pasta
عجائن بالخضر,2,Rice & Pasta
عجائن بالصلصة,2,Rice & Pasta
عجائن بالمرق,2,Rice & Pasta
عجائن بصلصة,2,Rice & Pasta
عجائن تليتلي,2,Rice & Pasta
عجائن سباقيتي,2,Rice & Pasta
عجائن سباقيطي,2,Rice & Pasta
عجائن صناعية,2,Rice & Pasta
عجائن صناعية (سباقيتي),2,Rice & Pasta
عجائن صناعية (معكرونة),2,Rice & Pasta
عجائن غذائية,2,Rice & Pasta
عجائن ماقرون,2,Rice & Pasta
عجائن متنوعة,2,Rice & Pasta
عجائن مختلفة,2,Rice & Pasta
عجائن مختلفة ( تليتلي),2,Rice & Pasta
عجائن مختلفة ( سباقيتي),2,Rice & Pasta
عجائن مختلفة ( شخشوخة),2,Rice & Pasta
عجائن مختلفة ( لسان العصفور),2,Rice & Pasta
عجائن مختلفة (تليتلي),2,Rice & Pasta
عجائن مختلفة (سباقيتي),2,Rice & Pasta
عجائن مختلفة (شخشوخة),2,Rice & Pasta
عجائن مختلفة (شعيرات أو لسان العصفور),2,Rice & Pasta
عجائن مختلفة (عيش),2,Rice & Pasta
عجائن مختلفة (لسان العصفور),2,Rice & Pasta
عجائن مختلفة (لسان عصفور),2,Rice & Pasta
عجائن مختلفة أو بقوليات أو زيتون أخضر,2,Rice & Pasta
عجائن مختلفة تليتلي,2,Rice & Pasta
عجائن مختلفة سباقيتي,2,Rice & Pasta
عجائن مختلفة سباقيتي أو معكرونة,2,Rice & Pasta
عجائن مختلفة لسان العصفور,2,Rice & Pasta
عجائن مختلفة(سباقيتي),2,Rice & Pasta
عجائن مرق,2,Rice & Pasta
عجائن مصنعة,2,Rice & Pasta
عجائن مع خضر مجمرة,2,Rice & Pasta
عجائن مع خضر مجمرة او ارز,2,Rice & Pasta
عجائن مع خضرة مجمرة أو أرز,2,Rice & Pasta
عجائن معكرونة,2,Rice & Pasta
عجائن مقارون,2,Rice & Pasta
عجائن مقرون,2,Rice & Pasta
عجائن مقرونة,2,Rice & Pasta
عجائن منحنية,2,Rice & Pasta
عجائن(مقارونة أو سباقيتي),2,Rice & Pasta
عجائن:سباقيتي,2,Rice & Pasta
عجاىن سباقيتي,2,Rice & Pasta
عجاىن معكرونة,2,Rice & Pasta
غراتان عجائن,2,Rice & Pasta
فارميسال,2,Rice & Pasta
فارميسال مفورة,2,Rice & Pasta
فرميسال,2,Rice & Pasta
فرميسال مفورة,2,Rice & Pasta
فريث/ أرز,2,Rice & Pasta
فريك / شربة شعيرية,2,Rice & Pasta
قراتان عجائن,2,Rice & Pasta
قراتان مقارون,2,Rice & Pasta
كسكس,2,Rice & Pasta
كسكس بالخضار,2,Rice & Pasta
كسكس بالخضر,2,Rice & Pasta
كسكس بالخظر,2,Rice & Pasta
كسكس بالمرق,2,Rice & Pasta
كسكس بالمرقة,2,Rice & Pasta
كسكس مرقة,2,Rice & Pasta
كسكس( بالمكونات),2,Rice & Pasta
كسكس/شربة فريك,2,Rice & Pasta
كسكسي,2,Rice & Pasta
كسكسي بالخضار,2,Rice & Pasta
كسكسي بالخضروات,2,Rice & Pasta
كسكسي بالمرق,2,Rice & Pasta
كسكسي مع المرق,2,Rice & Pasta
لسان العصفور,2,Rice & Pasta
لسان العصفور بالخضار,2,Rice & Pasta
لسان العصفور بالخضر,2,Rice & Pasta
ماسيدوان ( أرز),2,Rice & Pasta
ماسيدوان (أرز),2,Rice & Pasta
ماسيدوان(ارز),2,Rice & Pasta
ماقرونة/ سباقيتي,2,Rice & Pasta
مرق بالمعكرونة,2,Rice & Pasta
مرق سباقيتي,2,Rice & Pasta
مرق معكرونة,2,Rice & Pasta
معجنات (مقارون),2,Rice & Pasta
معكرونة,2,Rice & Pasta
معكرونة أو سباغيتي بالصلصة,2,Rice & Pasta
معكرونة او سباقيتي,2,Rice & Pasta
معكرونة بالخضار و الزيتون,2,Rice & Pasta
معكرونة بالخضار و الزيتون الاخضر,2,Rice & Pasta
معكرونة بالزيتون الاخضر,2,Rice & Pasta
معكرونة بالصلصة,2,Rice & Pasta
معكرونة بالمرق,2,Rice & Pasta
معكرونة(عجائن صناعية),2,Rice & Pasta
مقارون,2,Rice & Pasta
مقارون تورصادي,2,Rice & Pasta
مقارون صغيرة,2,Rice & Pasta
مقارون في الفرن,2,Rice & Pasta
مقارون لولبي,2,Rice & Pasta
مقارون لولبي الشكل,2,Rice & Pasta
مقارونة,2,Rice & Pasta
مقرون,2,Rice & Pasta
مقرونة,2,Rice & Pasta
مقرونة /سباقيتي,2,Rice & Pasta
مقرونة أو سباقيتي,2,Rice & Pasta
مقرونة او سباقيتي,2,Rice & Pasta
مقرونة بالمرق,2,Rice & Pasta
مقرونة في الفرن,2,Rice & Pasta
مقرونة/ سباقيتي,2,Rice & Pasta
مقرونة/سباقيتي,2,Rice & Pasta
مقرونه,2,Rice & Pasta
ميلونج (ارز),2,Rice & Pasta
ميلونج أرز,2,Rice & Pasta
ميلونج(ارز),2,Rice & Pasta
ميلونج(ارز بسمتي),2,Rice & Pasta
Lentille,3,Legumes
haricot sec,3,Legumes
pois chiche,3,Legumes
أرز أو عدس,3,Legumes
أرز أو عدس مرقة,3,Legumes
أرز أو فاصولياء,3,Legumes
أرز محمص,3,Legumes
أرز محمص بالخضر,3,Legumes
أرز محمص بالمرق,3,Legumes
ارز او لوبيا,3,Legumes
ارز بالجلبانة,3,Legumes
ارز محمص بالمرق,3,Legumes
الجلبان,3,Legumes
الحمص,3,Legumes
العدس,3,Legumes
الفاصولياء,3,Legumes
بازلاء,3,Legumes
بازلاء مجمدة,3,Legumes
بازلاء مجمدة في الفرن,3,Legumes
بازلاء مكسرة,3,Legumes
بزيلا خضراء مكسرة,3,Legumes
بطاطا بالجلبانة,3,Legumes
بطاطا بالحمص,3,Legumes
بطاطا جلبانة,3,Legumes
بطاطا كوشة(حمص),3,Legumes
بقوليات (لوبيا أو عدس أو حمص) أو زيتون اخضر,3,Legumes
تليتلي محمص بالخضر,3,Legumes
تليتلي محمص بالمرق,3,Legumes
جلبان,3,Legumes
جلبان ()/ زيتون( بالمكونات),3,Legumes
جلبان مجمد,3,Legumes
جلبان مجمد مرقة,3,Legumes
جلبان( بالمكونات),3,Legumes
جلبان/شوفلور,3,Legumes
جلبانة,3,Legumes
جلبانة او ارز,3,Legumes
جلبانة بالجزر,3,Legumes
جلبانة بالخضر,3,Legumes
جلبانة بالفريت,3,Legumes
جلبانة بالقرنون,3,Legumes
جلبانة بالمرق,3,Legumes
جلبانة بطاطا جزر,3,Legumes
جلبانة خضراء,3,Legumes
جلبانة سوتي,3,Legumes
جلبانة سوتي مع بطاطا مقلية,3,Legumes
جلبانة صوتي,3,Legumes
جلبانة فريت,3,Legumes
جلبانة في الفرن,3,Legumes
جلبانة قراتان,3,Legumes
جلبانة م,3,Legumes
جلبانة مثلجة,3,Legumes
جلبانة مجمدة,3,Legumes
جلبانة مرق,3,Legumes
جلبانة مرق بالخضروات,3,Legumes
جلبانة مكسرة,3,Legumes
جلبانة/حمص,3,Legumes
جلبانة/عدس,3,Legumes
جلبانة/فريت,3,Legumes
جلبانـــة,3,Legumes
جلبانه,3,Legumes
حبوب حمص,3,Legumes
حبوب عدس,3,Legumes
حبوب عدس أو لوبيا أو حمص,3,Legumes
حبوب عدس او لوبيا او حمص,3,Legumes
حبوب لوبيا,3,Legumes
حساء الجلبانة المكسرة,3,Legumes
حساء الشوبة /راقو بطاطا بالحمص,3,Legumes
حساء العدس,3,Legumes
حساء العدس الأحمر,3,Legumes
حساء العدس الاحمر,3,Legumes
حساء العدس الاخمر,3,Legumes
حساء بالبازلاء المكسرة,3,Legumes
حساء جلبانة,3,Legumes
حساء شوربة فارميسال/ جلبانة,3,Legumes
حساء عدس,3,Legumes
حساء عدس احمر,3,Legumes
حمص,3,Legumes
حمص بالشيفلور,3,Legumes
حمص بالمرق,3,Legumes
حمص صوص بلونش,3,Legumes
حمص مرق,3,Legumes
حمص مرقة,3,Legumes
حمص( بالمكونات),3,Legumes
دوبارة,3,Legumes
دولمة بالجلبانة,3,Legumes
راقو بطاطا بالحمص,3,Legumes
زيتون أو جلبان,3,Legumes
زيتون أو فاصولياء,3,Legumes
زيتون او جلبان,3,Legumes
زيتون( بالمكونات)/ جلبان ( بالمكونات),3,Legumes
سلاطة جزائرية /عدس,3,Legumes
سلطة العدس,3,Legumes
شربة البازلاء,3,Legumes
شربة العدس الأحمر,3,Legumes
شربة العدس الاحمر,3,Legumes
طاجين جلبانة,3,Legumes
طاجين الجلبانة,3,Legumes
طاجين الجلبانة بالجزر,3,Legumes
طاجين الحمص,3,Legumes
طاجين جلبان,3,Legumes
طاجين جلبانة بالفريت,3,Legumes
طاجين حمص,3,Legumes
طاجين زيتون / طاجين جلبانة,3,Legumes
طاجين فاصولياء خضراء,3,Legumes
طاجين لوبيا خضراء,3,Legumes
طاجين لوبيا خضراء بالفرن,3,Legumes
طاجين لوبياء خضراء,3,Legumes
طبق الجلبانة,3,Legumes
طبق جلبانة بالقرنون,3,Legumes
عجائن أو عدس,3,Legumes
عجائن بالمرق أو حمص,3,Legumes
عدس,3,Legumes
عدس ( بالمكونات),3,Legumes
عدس / لوبياء جافة,3,Legumes
